code_insee,nom_commune,lon,lat,score_tension,dep
77469,Touquin,3.033321818181818,48.7322189090909,76.1,77
77478,Ussy-sur-Marne,3.082372352941176,48.96830014705883,68.6,77
77508,Villeneuve-le-Comte,2.8308827777777776,48.81363648148148,67.8,77
77510,Villeneuve-Saint-Denis,2.7948735897435895,48.814118717948716,58.8,77
77038,Boissettes,2.613534444444445,48.52373166666667,76.2,77
77040,Boissise-le-Roi,2.5665299999999998,48.51501959183673,81.8,77
77065,Cély,2.523490476190476,48.45871404761905,70.3,77
77326,Nandy,2.5495658974358975,48.581066923076925,77.3,77
77495,Vert-Saint-Denis,2.628614516129032,48.56684112903226,62.5,77
77518,Villiers-en-Bière,2.5958548717948715,48.49263153846154,73.0,77
77136,Courquetaine,2.7437578846153845,48.68127961538461,85.9,77
77393,Rozay-en-Brie,2.9628574193548385,48.68362064516129,66.8,77
77180,Férolles-Attilly,2.6423444897959185,48.73542285714285,67.3,77
77215,Gretz-Armainvilliers,2.727286037735849,48.74798962264151,82.6,77
77249,Lésigny,2.616169423076923,48.74908980769231,65.0,77
77350,Ozoir-la-Ferrière,2.673832903225806,48.76492564516129,68.2,77
77470,Tournan-en-Brie,2.77396140625,48.7418753125,71.6,77
77471,Tousson,2.4552624137931036,48.34624465517241,74.3,77
77037,Bois-le-Roi,2.7036224324324323,48.48035891891892,69.0,77
77122,Combs-la-Ville,2.57438109375,48.66141015625,66.7,77
77001,Achères-la-Forêt,2.5617884444444443,48.34819644444444,82.4,77
77003,Amponville,2.5288155263157894,48.29216368421053,83.6,77
77004,Andrezel,2.800347,48.6118984,86.8,77
77041,Boissy-aux-Cailles,2.49283125,48.30906770833334,80.3,77
77052,Bréau,2.88136,48.558588125,82.0,77
77103,Châtillon-la-Borde,2.820571388888889,48.537975555555555,79.6,77
77179,Féricy,2.8018838461538462,48.463754871794876,77.2,77
77384,Réau,2.624037358490566,48.60900056603774,43.0,77
77419,Saint-Mammès,2.82018,48.386549090909085,72.0,77
77428,Saint-Ouen-en-Brie,2.9189475000000003,48.566613000000004,86.0,77
77463,Thomery,2.775565142857143,48.405292571428575,52.5,77
77482,Varennes-sur-Seine,2.931702181818182,48.36857454545454,56.8,77
77516,Ville-Saint-Jacques,2.898302244897959,48.3457793877551,63.4,77
77425,Saint-Martin-en-Bière,2.573277333333333,48.435845666666665,79.6,77
77446,Savins,3.205994736842105,48.50880894736842,79.3,77
77528,Voisenon,2.663270322580645,48.56989387096774,67.9,77
77022,Barbizon,2.599171935483871,48.44952516129032,73.8,77
